ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
788,788,32567411,32671862,33856429
789,789,33835308,33949284,35061631
790,790,33505838,33619232,34820198
791,791,33959216,34074772,35185324
792,792,33279136,33392103,34624224
793,793,32798828,32905749,34179221
794,794,34337440,34443130,35643931
795,795,33107504,33218317,34358899
796,796,32999699,33100038,34299162
797,797,32601260,32705703,33986806
798,798,32411822,32520407,33723844
799,799,33470476,33575370,34775096
800,800,33747746,33858543,35044448
801,801,33622831,33734211,34964633
802,802,34181890,34297347,35565942
803,803,34207734,34319959,35522452
804,804,34130601,34243105,35401444
805,805,34215279,34327677,35574428
806,806,34971606,35088079,36244787
807,807,34781603,34897422,36048170
808,808,33366797,33479270,34742614
809,809,33375710,33480303,34725811
810,810,33596239,33711697,34997435
811,811,34832479,34944553,36079350
812,812,33460814,33575388,34780373
813,813,34384072,34495453,35676139
814,814,34239387,34358304,35498434
815,815,33621736,33734842,34930169
816,816,34695772,34812470,36027491
817,817,33609418,33718818,34889702
818,818,35236328,35353473,36503915
819,819,33580161,33694389,34937013
820,820,34758707,34878542,36068897
821,821,34559541,34672437,35907251
822,822,34187538,34295908,35492752
823,823,35479513,35593761,36799531
824,824,33140687,33249397,34436966
825,825,34111570,34224907,35498350
826,826,34940095,35061223,36268467
827,827,34250663,34367490,35591760
828,828,35198892,35314821,36509733
829,829,35084073,35196290,36441579
830,830,35759089,35876859,37042323
831,831,36152421,36268594,37481886
832,832,36220345,36338102,37554301
833,833,35899087,36014440,37270686
834,834,35437044,35553772,36789774
835,835,35324075,35443956,36666041
836,836,35016856,35128777,36381964
837,837,36345601,36465712,37691579
838,838,36415579,36534681,37682236
839,839,35903988,36029793,37246841
840,840,35357330,35473797,36767723
841,841,34481866,34596513,35793152
842,842,35197666,35313060,36546207
843,843,36235686,36354489,37575459
844,844,35388292,35504564,36736365
845,845,36783798,36897897,38049900
846,846,34678783,34796656,36039309
847,847,36374621,36490315,37732092
848,848,35578253,35691331,36958342
849,849,34914456,35025082,36364844
850,850,35131414,35250556,36497132
851,851,36382458,36491465,37705040
852,852,37118466,37235730,38391314
853,853,35390130,35511411,36779009
854,854,36919246,37033448,38186520
855,855,36317086,36437179,37695151
856,856,35996554,36111663,37350052
857,857,37901859,38022171,39246004
858,858,36506296,36615875,37817924
859,859,34766046,34881373,36143220
860,860,37928497,38043354,39244993
861,861,36090350,36210313,37465655
862,862,37082492,37203039,38453305
863,863,36334995,36456091,37674424
864,864,36405396,36516407,37712963
865,865,36669807,36790644,38094503
866,866,36718551,36834094,38069096
867,867,36456100,36573616,37878540
868,868,35720374,35838316,37094241
869,869,36373738,36485533,37681582
870,870,35889743,36004844,37286282
871,871,37272140,37388851,38618925
872,872,35547837,35663903,36967771
873,873,38560790,38673774,39922986
874,874,36727084,36847221,38059046
875,875,35598171,35708666,36955241
876,876,36433397,36546354,37811184
877,877,36746044,36859144,38107393
878,878,35999414,36117318,37407437
879,879,36902524,37018009,38280570
880,880,38304524,38431391,39701491
881,881,35858693,35976213,37217473
882,882,38434909,38558100,39724162
883,883,37693634,37805466,39059837
884,884,37518548,37638722,38871605
885,885,37164581,37278964,38537140
886,886,37597767,37718680,38955651
887,887,38519892,38633438,39821948
888,888,36126690,36247397,37595403
889,889,37219368,37333842,38619982
890,890,39227650,39345765,40527720
891,891,37659681,37774468,39012072
892,892,37637641,37761354,39010441
893,893,37391430,37501037,38767878
894,894,37687547,37801464,38982153
895,895,37154703,37275010,38512977
896,896,38377043,38492559,39696762
897,897,37650915,37765659,39092349
898,898,36878972,36997891,38309391
899,899,38541428,38660833,39890802
900,900,37804106,37914647,39094583
901,901,38157228,38277650,39564639
902,902,39372293,39482420,40684210
903,903,38747593,38866215,40160478
904,904,37498414,37616556,38956921
905,905,38404944,38523618,39722687
906,906,39806784,39924892,41200199
907,907,38879945,39000680,40230886
908,908,37803250,37918121,39077956
909,909,38577847,38694327,39909139
910,910,37514000,37628716,38819506
911,911,39776105,39883917,41147917
912,912,39300087,39416463,40616999
913,913,39427346,39548784,40758123
914,914,39654496,39775508,40959810
915,915,40537606,40659348,41905317
916,916,40124188,40246975,41517235
917,917,40084542,40204723,41397068
918,918,39682867,39806171,41022406
919,919,41098821,41219121,42364188
920,920,39254001,39373752,40733730
921,921,39921376,40042617,41267601
922,922,38909118,39023990,40310105
923,923,38080203,38196057,39440917
924,924,39695438,39811819,40992245
925,925,38645110,38761755,40080806
926,926,38942557,39056663,40290620
927,927,40208548,40320538,41628166
928,928,40254917,40369185,41600313
929,929,41192211,41310061,42513736
930,930,39406532,39525480,40777171
931,931,39414573,39539410,40840820
932,932,40158901,40279637,41510793
933,933,40258964,40373697,41588178
934,934,40282790,40401631,41646439
935,935,39794230,39914953,41119940
936,936,40721681,40843333,42065864
937,937,40605906,40722942,41992261
938,938,41994987,42118507,43257154
939,939,42014469,42129861,43313462
940,940,40720772,40842683,42013331
941,941,38426873,38546624,39882402
942,942,39949141,40064990,41325974
943,943,39513503,39636937,40877719
944,944,40793522,40907855,42143410
945,945,40266470,40387896,41614409
946,946,40694771,40819958,41972669
947,947,41424872,41546851,42700572
948,948,41079483,41197963,42389793
949,949,41062580,41182184,42399299
950,950,41297889,41421370,42663607
951,951,40777903,40901544,42048699
952,952,39280061,39400688,40602012
953,953,40521235,40635555,41819098
954,954,41112072,41230970,42452032
955,955,41663649,41783763,42902271
956,956,43051852,43169488,44367212
957,957,41593268,41708892,42931168
958,958,41275895,41401756,42610970
959,959,41477066,41598512,42742023
960,960,43055133,43190729,44287440
961,961,42210447,42332113,43605366
962,962,41304086,41429116,42682642
963,963,39884689,40004354,41266963
964,964,41949828,42072116,43286885
965,965,40095801,40212369,41502227
966,966,40153452,40270543,41571206
967,967,41402253,41523593,42740229
968,968,41496523,41615114,42838464
969,969,41199722,41322051,42473500
970,970,41438920,41558460,42839919
971,971,44818466,44960258,46062536
972,972,42170527,42291308,43567209
973,973,40978060,41096347,42291746
974,974,42760994,42883629,44102799
975,975,42590347,42721945,43786763
976,976,42811207,42938847,44066807
977,977,41328615,41455340,42629819
978,978,42242679,42366937,43577386
979,979,42575948,42694787,43912032
980,980,42261565,42382027,43662504
981,981,41356501,41477666,42702460
982,982,41736809,41853597,43073183
983,983,42450353,42581556,43738086
984,984,41661697,41784163,43036877
985,985,43975693,44108716,45307929
986,986,43121187,43243147,44466466
987,987,43037987,43173572,44338852
988,988,43770547,43898663,45111376
989,989,43709733,43841401,45099483
990,990,44504911,44642300,45685552
991,991,44549134,44682666,45755646
992,992,44594171,44734061,45855922
993,993,43271079,43396150,44661810
994,994,42738946,42870061,44026552
995,995,44105093,44238589,45352497
996,996,42306608,42435275,43580137
997,997,43291385,43415480,44665961
998,998,42328017,42451979,43665704
999,999,45328149,45474168,46530551
1000,1000,42061988,42188381,43428114
0.1003 0.103248
