ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
648,648,24221649,24878965,26105169
649,649,25849413,26675997,27766897
650,650,24995786,25471253,27089102
651,651,25806237,26460195,27756474
652,652,25843040,26573989,27759385
653,653,24515383,25091384,26324025
654,654,25850353,26541084,27838135
655,655,26040409,26601481,27932285
656,656,25204171,25770154,27068753
657,657,26036888,26804349,27910684
658,658,26431693,27248855,28253117
659,659,26369037,27113041,28236320
660,660,27202217,27799729,29195944
661,661,24837574,25482500,26709407
662,662,25182458,25882925,27177528
663,663,25661325,26170554,27629465
664,664,26416875,27117556,28284182
665,665,26482113,27149266,28610045
666,666,26566355,27337011,28596788
667,667,25829644,26522364,27730438
668,668,26363639,27073667,28465674
669,669,26369854,27116010,28483116
670,670,25263343,25790372,27126127
671,671,27466285,28100337,29283674
672,672,27626742,28247166,29678007
673,673,26814204,27452627,28613044
674,674,26427850,27049841,28377694
675,675,26517211,27219868,28328592
676,676,26224270,26906495,28100703
677,677,26343068,27076081,28255374
678,678,25976814,26759121,27934634
679,679,26472117,27058220,28423608
680,680,26665252,27409574,28782396
681,681,27124098,27832400,29280444
682,682,27147846,27854415,29084977
683,683,27353478,27981551,29403477
684,684,28870715,29560234,30781450
685,685,27878542,28676761,29939861
686,686,26753549,27352558,28740466
687,687,27149891,27907425,29351968
688,688,26655014,27382764,28563812
689,689,27601877,28319806,29578803
690,690,27925875,28619374,29854404
691,691,27308172,27844932,29250058
692,692,28016764,28621719,30211530
693,693,27541391,28269034,29635405
694,694,27993262,28685343,30034562
695,695,28190304,28771230,30201521
696,696,27367016,28215048,29430478
697,697,27981201,28727530,30090642
698,698,27939861,28715022,30042966
699,699,26744071,27420185,28903921
700,700,27744941,28384757,29838470
701,701,27824053,28406312,29851872
702,702,27404920,28075984,29689929
703,703,27228258,27833574,29373318
704,704,28486688,29148633,30515555
705,705,29339381,30132724,31298432
706,706,28167541,28931427,30100197
707,707,28422074,29038754,30406971
708,708,27716298,28416193,29637939
709,709,27871330,28588505,30066902
710,710,28264387,29066035,30229775
711,711,29099798,29679721,31185117
712,712,28627389,29441749,30875239
713,713,28323211,28969898,30606973
714,714,28956739,29772427,31123724
715,715,27331931,28065992,29450151
716,716,29171898,29763146,31551175
717,717,27958126,28750078,30182179
718,718,29390097,30014835,31484137
719,719,29735426,30655347,31826003
720,720,29026152,29772473,31267455
721,721,29052155,29800449,31342715
722,722,28344774,29167225,30569327
723,723,29358761,30139629,31425811
724,724,28398543,29121655,30349717
725,725,28600777,29279099,30837340
726,726,28488944,29209094,30583008
727,727,29332887,30252301,31570175
728,728,28837254,29506819,31046228
729,729,29845885,30451083,32086930
730,730,29635486,30241191,31868944
731,731,30478525,31253025,32708209
732,732,28175240,29099622,30139869
733,733,29019635,29908632,31037258
734,734,30338547,30908608,32741359
735,735,29609308,30355064,31944185
736,736,31337686,32062180,33412334
737,737,29826809,30603354,31996771
738,738,30193940,31068745,32455831
739,739,29891104,30557709,32008787
740,740,31234202,31861514,33356005
741,741,30257184,30914391,32297175
742,742,29479102,30252923,31752665
743,743,29454227,30213542,31726976
744,744,29564712,30243982,31725856
745,745,30011520,30571384,32212554
746,746,30216362,30968094,32512435
747,747,30132427,30886448,32344066
748,748,29856488,30664505,31959394
749,749,30536997,31237231,32853455
750,750,29546986,30304113,31736175
751,751,30731614,31451226,32988817
752,752,30203200,30945495,32251845
753,753,30322959,30938921,32476035
754,754,30723646,31555633,32863784
755,755,29803163,30537138,32216283
756,756,30029170,30754217,32318707
757,757,31180973,31872585,33436097
758,758,30656547,31455451,32903289
759,759,30305345,31007974,32520474
760,760,30085216,30691732,32229980
761,761,30067014,30699886,32292309
762,762,31498177,32229922,33873596
763,763,30857212,31736611,33103728
764,764,31163962,31784031,33369879
765,765,30003454,30764175,32249411
766,766,30944321,31771398,33284006
767,767,31222172,31895473,33375695
768,768,31580278,32365187,33791053
769,769,31471326,32062475,33639577
770,770,31646972,32506429,33999802
771,771,31241445,31918373,33627518
772,772,29624455,30313806,31855124
773,773,31569047,32219098,33786179
774,774,32080187,32770055,34357551
775,775,32143631,32913872,34340079
776,776,30563297,31209886,33046390
777,777,31236605,31951587,33563514
778,778,30889752,31619141,33060860
779,779,30809465,31570352,33128680
780,780,30854918,31769404,33157201
781,781,33128571,33923534,35321982
782,782,32068745,32864754,34336373
783,783,30515480,31260604,32741573
784,784,31461025,32238852,33951258
785,785,31942724,32657359,34138391
786,786,31326409,32075218,33472649
787,787,31618688,32425496,33671429
788,788,31598346,32491834,34060774
789,789,32734103,33383782,35094941
790,790,34091600,34854476,36193424
791,791,31252512,32030512,33712143
792,792,31578471,32385903,33841118
793,793,32223401,32990061,34488540
794,794,31655414,32258614,33819855
795,795,32700806,33602301,35162929
796,796,31658205,32529651,33789847
797,797,32583221,33329027,35037198
798,798,32116516,32991480,34532769
799,799,32697968,33491554,35103150
800,800,32557355,33410403,34798877
801,801,31499784,32211144,33727324
802,802,33160303,33883587,35189221
803,803,32293929,33086655,34756154
804,804,32005198,32827165,34538599
805,805,32697728,33542101,34903456
806,806,32142464,32947898,34566877
807,807,32406482,33086928,34867835
808,808,33316001,34157823,35821447
809,809,33074642,34002977,35490350
810,810,33204186,33988209,35641158
811,811,33948420,34613144,36200922
812,812,32967588,33736396,35325404
813,813,33013850,33731268,35433667
814,814,32519019,33144386,34812173
815,815,32661580,33455376,34926922
816,816,32365977,33065348,34620260
817,817,33623833,34309781,36155635
818,818,32798463,33375794,34858418
819,819,33805243,34497565,36186609
820,820,33912437,34833662,36285861
821,821,33825245,34571304,36213262
