ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
206,206,6715999,6744893,7076139
207,207,7179358,7204047,7532798
208,208,6462296,6488589,6804686
209,209,6686335,6714814,7059167
210,210,6846305,6875887,7200148
211,211,6842208,6870920,7177280
212,212,6961007,6985750,7274650
213,213,6631089,6659638,7000872
214,214,6938565,6964128,7275708
215,215,6826272,6852154,7150935
216,216,6764837,6790993,7114691
217,217,7315523,7347803,7680630
218,218,6976106,7002977,7316027
219,219,7420288,7442420,7744009
220,220,6746860,6770429,7119279
221,221,7537744,7561877,7864529
222,222,8030771,8055348,8340995
223,223,7743667,7772213,8132422
224,224,7532814,7558294,7889102
225,225,7697195,7722029,8018612
226,226,7064098,7092325,7432185
227,227,7749466,7775123,8096570
228,228,7763336,7791059,8149196
229,229,7691989,7722859,8041282
230,230,7096458,7124850,7470193
231,231,7455464,7478593,7804407
232,232,7267785,7295086,7651641
233,233,7884568,7912142,8181205
234,234,7705554,7732563,8064389
235,235,7845966,7875972,8167344
236,236,8056496,8083921,8379957
237,237,7598162,7623601,7943959
238,238,7731542,7759110,8094957
239,239,8121733,8149337,8438658
240,240,8496826,8527577,8803062
241,241,7885354,7920448,8241975
242,242,8034298,8063770,8358020
243,243,7909723,7943852,8247883
244,244,8101461,8129679,8444823
245,245,7476277,7502880,7868268
246,246,7460011,7486498,7822640
247,247,8346492,8380691,8654126
248,248,8381645,8412824,8719982
249,249,8551215,8584222,8853978
250,250,8182706,8210309,8492223
251,251,8440873,8473012,8764923
252,252,9218814,9253299,9474264
253,253,8767228,8801375,9100181
254,254,9414030,9452106,9701077
255,255,8367919,8402771,8709226
256,256,8285179,8314709,8612356
257,257,9364109,9395515,9623171
258,258,9062761,9100742,9399065
259,259,8670729,8704398,9023507
260,260,8555536,8589796,8923508
261,261,8661922,8696929,9004637
262,262,9300614,9338907,9659448
263,263,9910416,9949018,10195163
264,264,9113983,9147641,9441631
265,265,9164409,9201127,9556067
266,266,9197415,9231211,9548479
267,267,8720856,8756723,9073499
268,268,9874862,9917767,10230206
269,269,9292290,9328236,9688590
270,270,9332036,9375399,9742157
271,271,9365617,9406319,9777188
272,272,9152004,9187745,9536470
273,273,9411728,9450383,9788017
274,274,9306993,9343657,9710812
275,275,8924449,8966473,9397207
276,276,9849651,9890146,10253706
277,277,9367631,9403950,9756960
278,278,9703962,9738015,10086004
279,279,10224502,10260093,10599395
280,280,10168671,10210006,10532777
281,281,9796623,9839923,10259352
282,282,9537451,9573886,9992367
283,283,9183350,9219968,9603025
284,284,9987504,10029320,10402318
285,285,9956780,9994289,10364288
286,286,9425800,9462284,9833140
287,287,9498326,9536096,9982945
288,288,9786855,9825960,10229475
289,289,9513015,9547712,10018189
290,290,9511778,9546693,9956018
291,291,10176679,10219941,10641340
292,292,10014886,10054059,10490513
293,293,10105710,10145120,10564379
294,294,10443966,10485025,10922444
295,295,10506067,10545908,10965544
296,296,9939982,9974903,10408320
297,297,9881940,9920735,10367030
298,298,10135480,10176581,10634961
299,299,10589873,10629452,11047194
300,300,10396907,10434682,10848541
301,301,10105382,10146770,10543152
302,302,11026874,11065856,11486624
303,303,10407871,10441195,10907676
304,304,10665691,10707164,11149238
305,305,10305712,10345013,10804617
306,306,10621215,10666898,11162874
307,307,10532221,10573364,11047559
308,308,10616666,10654741,11096103
309,309,11025908,11061479,11497473
310,310,10205740,10241874,10694771
311,311,10652552,10692940,11165916
312,312,11355639,11399026,11840232
313,313,11214016,11254347,11696238
314,314,11483886,11521002,12009849
315,315,11467906,11506803,11966973
316,316,11299696,11342027,11837178
317,317,11053705,11094309,11563881
318,318,11642940,11679214,12155146
319,319,11409612,11449945,11947728
320,320,11289551,11330916,11821922
321,321,11559820,11599158,12046058
322,322,11909907,11951766,12440743
323,323,11081079,11119817,11620279
324,324,10933030,10975031,11488732
325,325,11438576,11480687,11984769
326,326,11019219,11060432,11584832
327,327,11569179,11613032,12082329
328,328,11412982,11456121,11950480
329,329,11880326,11920289,12415271
330,330,11262162,11302839,11794187
331,331,11856451,11895621,12388241
332,332,11632665,11671925,12213594
333,333,12090181,12135828,12635244
334,334,11431405,11469959,11994409
335,335,12213224,12253762,12785235
336,336,11890966,11927020,12445451
337,337,12387595,12431086,12948194
338,338,11512862,11550438,12104510
339,339,12387304,12423500,12929522
340,340,12293959,12332780,12863470
341,341,12224837,12262530,12842460
342,342,12169086,12210218,12736699
343,343,12080621,12121147,12618715
344,344,12308435,12346330,12898551
345,345,13092362,13131323,13677134
346,346,12065359,12103787,12676243
347,347,13109111,13151723,13688402
348,348,12773243,12814898,13339825
349,349,12059574,12105139,12662133
350,350,12337509,12377398,12962693
351,351,11798178,11837254,12397721
352,352,13212432,13256007,13800743
353,353,13328434,13375726,13939666
354,354,12986519,13034415,13557677
355,355,12562203,12603518,13134635
356,356,13743959,13796626,14295944
357,357,12979159,13023707,13567327
358,358,12040409,12079689,12672232
359,359,12991669,13039966,13594443
360,360,12071950,12120226,12682239
361,361,13310823,13353293,13885719
362,362,13075620,13121259,13690698
363,363,12436414,12475961,13049142
364,364,13184459,13222816,13852950
365,365,12474615,12516334,13123931
366,366,13139084,13182492,13717044
367,367,13145686,13190263,13777025
368,368,13870276,13924738,14501139
369,369,13361600,13407957,13976266
370,370,13147276,13190939,13736401
371,371,12972186,13015815,13585356
372,372,13818697,13864611,14449579
373,373,13357822,13405538,13969672
374,374,13508660,13546514,14091892
375,375,13532560,13583224,14146247
376,376,13346074,13391168,13991350
377,377,12927374,12971613,13551243
378,378,13217900,13263168,13874434
379,379,13319317,13359905,13933486
380,380,14066806,14116935,14724276
381,381,13365698,13411601,14017478
382,382,13889733,13934944,14521238
383,383,14369257,14420978,14996484
384,384,14346505,14395678,14937504
385,385,13719900,13760951,14397914
386,386,14330221,14380963,15006063
387,387,14673312,14731772,15350024
388,388,14235461,14281470,14907811
389,389,14970900,15027427,15622287
390,390,14212448,14263023,14864681
391,391,14181412,14231741,14807360
392,392,15261293,15326524,15909269
393,393,14596282,14648036,15262559
394,394,14395697,14448079,15093022
395,395,13962021,14013500,14599320
396,396,15345452,15403278,15974464
397,397,14469215,14519864,15078106
398,398,15446570,15502849,16028722
399,399,14399256,14451161,15060680
400,400,14575805,14630888,15227494
