ID,Size Input,Optimal BST,Knuth's BST,Bisection heuristic BST
1,10,1030610,1030610,1030610
2,10,1107636,1107636,1573714
3,10,1225521,1225521,1261123
4,10,2024134,2024134,2398434
5,10,1435931,1435931,1435931
6,10,874728,874728,971025
7,10,1124177,1124177,1461359
8,10,844025,844025,961195
9,10,1827709,1827709,2013938
10,10,1320402,1320402,1676471
11,10,1774231,1774231,1774231
12,10,1390337,1390337,1390337
13,10,1217134,1217134,1451110
14,10,1226578,1226578,1473769
15,10,1241429,1241429,1568732
16,10,1935730,1935730,2208353
17,10,1850050,1850050,1850050
18,10,1396332,1396332,1552453
19,10,1949534,1949534,1949534
20,10,1661700,1661700,1661700
21,100,35361786,35361786,34398390
22,100,31559413,31559413,32183549
23,100,33701141,33701141,36103363
24,100,32147223,32147223,33367514
25,100,31428670,31428670,32059938
26,100,31889982,31889982,32252801
27,100,32297883,32297883,32682269
28,100,36770930,36770930,37110087
29,100,29073333,29073333,30124952
30,100,33156698,33156698,35432351
31,100,33174583,33174583,34145281
32,100,28557370,28557370,28488001
33,100,31629172,31629172,32772847
34,100,30411371,30411371,36705337
35,100,29823247,29823247,30609682
36,100,37905369,37905369,38587976
37,100,31519120,31519120,33327988
38,100,29617239,29617239,32127803
39,100,34197333,34197333,33579251
40,100,29522784,29522784,31604576
