ID,Size Input,Optimal BST,Knuth's BST,Bisection heuristic BST
1,10,11098,11098,11098
2,10,11098,11098,11098
3,10,11098,11098,11098
4,10,11098,11098,11098
5,10,11098,11098,11098
6,10,11098,11098,11098
7,10,11098,11098,11098
8,10,11098,11098,11098
9,10,11098,11098,11098
10,10,11098,11098,11098
11,10,11098,11098,11098
12,10,11098,11098,11098
13,10,11098,11098,11098
14,10,11098,11098,11098
15,10,11098,11098,11098
16,10,11098,11098,11098
17,10,11098,11098,11098
18,10,11098,11098,11098
19,10,11098,11098,11098
20,10,11098,11098,11098
21,100,273930,273930,321986
22,100,241646,241646,265640
23,100,241646,241646,265640
24,100,241646,241646,265640
25,100,241646,241646,265640
26,100,241646,241646,265640
27,100,241646,241646,265640
28,100,241646,241646,265640
29,100,241646,241646,265640
30,100,241646,241646,265640
31,100,241646,241646,265640
32,100,241646,241646,265640
33,100,241646,241646,265640
34,100,241646,241646,265640
35,100,241646,241646,265640
36,100,241646,241646,265640
37,100,241646,241646,265640
38,100,241646,241646,265640
39,100,241646,241646,265640
40,100,241646,241646,265640
