ID,Size Input,Optimal BST,Knuth's BST,Bisection heuristic BST
1,10,14057,14057,14057
2,10,14057,14057,14057
3,10,14057,14057,14057
4,10,14057,14057,14057
5,10,14057,14057,14057
6,10,14057,14057,14057
7,10,14057,14057,14057
8,10,14057,14057,14057
9,10,14057,14057,14057
10,10,14057,14057,14057
11,10,14057,14057,14057
12,10,14057,14057,14057
13,10,14057,14057,14057
14,10,14057,14057,14057
15,10,14057,14057,14057
16,10,14057,14057,14057
17,10,14057,14057,14057
18,10,14057,14057,14057
19,10,14057,14057,14057
20,10,14057,14057,14057
