ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
854,854,35312725,36075305,37773286
855,855,35003236,35796784,37260297
856,856,35484217,36266263,37776576
857,857,34109661,34989230,36531767
858,858,35591416,36486308,37871617
859,859,33589317,34385441,35969697
860,860,35799861,36648594,38428416
861,861,35602474,36292385,37918861
862,862,36246628,37034585,38574735
863,863,36473342,37280651,38886284
864,864,36268607,37220575,38822365
865,865,35699623,36594218,38196819
866,866,35191003,35873401,37759832
867,867,34679903,35558407,37067347
868,868,36178857,37016764,38580722
869,869,36485063,37585987,38990128
870,870,35356509,36228121,37838156
871,871,35842782,36482600,38387423
872,872,35908631,36786019,38477735
873,873,37363021,38339049,39821771
874,874,35582094,36261463,37889405
875,875,35825128,36653917,38409116
876,876,35762455,36579695,38476465
877,877,36807089,37715078,39116562
878,878,36217886,37268259,38751786
879,879,36464014,37163637,38744875
880,880,37160861,38004467,39568461
881,881,36459122,37294311,38890982
882,882,35703838,36550187,38319652
883,883,35285401,36097387,37889108
884,884,38130872,38985486,40456741
885,885,36376017,37209996,38788697
886,886,36847097,37774788,39296952
887,887,36700751,37516972,39230891
888,888,37444633,38218943,39882491
889,889,36170120,37106400,38678402
890,890,37157872,37994323,39428922
891,891,37451324,38324742,39903155
892,892,37447195,38380310,39662197
893,893,37747699,38434095,40277481
894,894,37993315,38799858,40471207
895,895,36915795,37616585,39322435
896,896,36925028,37758161,39609688
897,897,38078614,38787316,40363476
898,898,39713378,40577478,42001022
899,899,36349629,37257366,38811124
900,900,37927124,38692646,40305026
901,901,38048370,38998502,40366923
902,902,38414321,39260556,40949169
903,903,36866378,37749396,39451836
904,904,37901689,38688928,40205087
905,905,38764899,39694121,41167121
906,906,38527165,39363938,41058606
907,907,38891756,39777185,41244794
908,908,38360639,39351133,40804317
909,909,38245931,39044329,40557983
910,910,39542092,40399200,41921426
911,911,37398593,38327386,39932169
912,912,37991417,38990112,40564751
913,913,38723580,39620085,41271737
914,914,38601403,39552439,41276169
915,915,38397284,39157969,40950450
916,916,37810744,38649732,40517356
917,917,37937736,38759747,40400833
918,918,39108052,39954188,41693656
919,919,39032037,39852951,41526098
920,920,37737101,38498216,40461910
921,921,39174789,40047580,41942378
922,922,38759568,39619292,41183791
923,923,38645096,39383101,41143228
924,924,38942759,39699173,41412270
925,925,38938696,39776640,41379315
926,926,39075210,39898736,41338865
927,927,36876247,37717813,39390838
928,928,38752744,39600536,41260906
929,929,39361072,40189265,41745075
930,930,39504054,40537580,41913568
931,931,38855091,39821280,41364656
932,932,39083460,39893178,41648065
933,933,39808635,40747424,42366539
934,934,38845929,39799364,41394875
935,935,38223764,39199559,40871719
936,936,39334350,40262189,41919161
937,937,41021494,42013839,43552576
938,938,40443181,41494144,42949683
939,939,38862522,39776301,41451068
940,940,40672717,41487843,43214965
941,941,40315143,41237660,42970651
942,942,38792115,39654589,41238124
943,943,39514040,40552656,42135085
944,944,40992396,41965545,43574723
945,945,39136865,39955011,41788822
946,946,39840625,40734137,42347036
947,947,40067829,40980534,42834555
948,948,38286634,39290209,40913996
949,949,38362472,39254965,40904577
950,950,38307668,39285224,41057227
951,951,40706480,41640586,43297008
