ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
211,211,7305870,7305870,7305870
212,212,6162597,6162597,6162597
213,213,9544807,9544807,9544807
214,214,13196720,13196720,13196720
215,215,2060727,2060727,2060727
216,216,2982734,2982734,2982734
217,217,12340832,12340832,12340832
218,218,6471531,6471531,6471531
219,219,7944895,7944895,7944895
220,220,1677917,1677917,1677917
221,221,13211406,13211406,13211406
222,222,14652407,14652407,14652407
223,223,6151074,6151074,6151074
224,224,6971040,6971040,6971040
225,225,5573717,5573717,5573717
226,226,13856997,13856997,13856997
227,227,12605346,12605346,12605346
228,228,6541396,6541396,6541396
229,229,6932790,6932790,6932790
230,230,11409066,11409066,11409066
231,231,6640948,6640948,6640948
232,232,3362810,3362810,3362810
233,233,3841992,3841992,3841992
234,234,4657250,4657250,4657250
235,235,6536899,6536899,6536899
236,236,8109822,8109822,8109822
237,237,4859603,4859603,4859603
238,238,11494609,11494609,11494609
239,239,13866120,13866120,13866120
240,240,15239357,15239357,15239357
241,241,8653788,8653788,8653788
242,242,7053264,7053264,7053264
243,243,1350812,1350812,1350812
244,244,2346080,2346080,2346080
245,245,5135574,5135574,5135574
246,246,7192059,7192059,7192059
247,247,15742545,15742545,15742545
248,248,5363856,5363856,5363856
249,249,10059925,10059925,10059925
250,250,4708558,4708558,4708558
251,251,5008284,5008284,5008284
252,252,14162614,14162614,14162614
253,253,13981436,13981436,13981436
254,254,7741545,7741545,7741545
255,255,9255466,9255466,9255466
256,256,6840392,6840392,6840392
257,257,2276427,2276427,2276427
258,258,16778580,16778580,16778580
259,259,8823096,8823096,8823096
260,260,3981108,3981108,3981108
261,261,15954386,15954386,15954386
262,262,2570560,2570560,2570560
263,263,4675555,4675555,4675555
264,264,12242842,12242842,12242842
265,265,14369173,14369173,14369173
266,266,7129056,7129056,7129056
267,267,17523418,17523418,17523418
268,268,13396740,13396740,13396740
269,269,4939506,4939506,4939506
270,270,2604728,2604728,2604728
271,271,8358155,8358155,8358155
272,272,3292632,3292632,3292632
273,273,4019480,4019480,4019480
274,274,14965680,14965680,14965680
275,275,13905704,13905704,13905704
276,276,14960136,14960136,14960136
277,277,12200848,12200848,12200848
278,278,766000,766000,766000
279,279,2282224,2282224,2282224
280,280,3666706,3666706,3666706
281,281,2693883,2693883,2693883
282,282,15994816,15994816,15994816
283,283,20204600,20204600,20204600
284,284,7663474,7663474,7663474
285,285,15043396,15043396,15043396
286,286,17189312,17189312,17189312
287,287,15518017,15518017,15518017
288,288,6614850,6614850,6614850
289,289,7033749,7033749,7033749
290,290,8739768,8739768,8739768
291,291,5938185,5938185,5938185
292,292,15088222,15088222,15088222
293,293,19392205,19392205,19392205
294,294,10906528,10906528,10906528
295,295,7481675,7481675,7481675
296,296,11395902,11395902,11395902
297,297,17795687,17795687,17795687
298,298,6165040,6165040,6165040
299,299,3482699,3482699,3482699
300,300,8422736,8422736,8422736
301,301,584855,584855,584855
302,302,7066824,7066824,7066824
303,303,11977175,11977175,11977175
304,304,12657844,12657844,12657844
305,305,12134630,12134630,12134630
306,306,10735284,10735284,10735284
307,307,17717196,17717196,17717196
308,308,16082950,16082950,16082950
309,309,8564482,8564482,8564482
310,310,22813648,22813648,22813648
311,311,15286535,15286535,15286535
312,312,5080118,5080118,5080118
313,313,1231580,1231580,1231580
314,314,12916792,12916792,12916792
315,315,2428653,2428653,2428653
316,316,17565000,17565000,17565000
317,317,7760651,7760651,7760651
318,318,663160,663160,663160
319,319,5652434,5652434,5652434
320,320,4553870,4553870,4553870
321,321,2554090,2554090,2554090
322,322,1993472,1993472,1993472
323,323,13388635,13388635,13388635
324,324,21030768,21030768,21030768
325,325,20307163,20307163,20307163
326,326,1191680,1191680,1191680
327,327,15566257,15566257,15566257
328,328,16089150,16089150,16089150
329,329,12513851,12513851,12513851
330,330,10543296,10543296,10543296
331,331,13452587,13452587,13452587
332,332,11164626,11164626,11164626
333,333,15900635,15900635,15900635
334,334,4437088,4437088,4437088
335,335,3379985,3379985,3379985
336,336,23146916,23146916,23146916
337,337,60744,60744,60744
338,338,8684260,8684260,8684260
339,339,20853369,20853369,20853369
340,340,10812666,10812666,10812666
341,341,13941377,13941377,13941377
342,342,10239600,10239600,10239600
343,343,24050840,24050840,24050840
